Justificativa,Justificativa_processada,Classificacao
ck6 preparaçao para troca do acinamento.,ck6 preparacao para troca do acinamento.,
"ck6 solda de olhais no tambor , e no acoplamento .","ck6 solda de olhais no tambor , e no acoplamento .",
robson \ck6 solda na trina do acoplamento e aconpanhamento.,robson \ck6 solda na trina do acoplamento e aconpanhamento.,
robson\ck6 troca do conjunto acionamento.(TAMBOR E REDUTOR).,robson\ck6 troca do conjunto acionamento.(tambor e redutor).,
renato vilvoque \troca de trecho da  tubulaçao de agua amoniacal.,renato vilvoque \troca de trecho da  tubulacao de agua amoniacal.,
luciano\ sk2 troca da malha e reparo na estrutura,luciano\ sk2 troca da malha e reparo na estrutura,
luciano \ bc215A preparaçao para troca do tambor de acionamento.,luciano \ bc215a preparacao para troca do tambor de acionamento.,
luciano \troca do tambor de acinamento da c5615,luciano \troca do tambor de acinamento da c5615,
robson \ wf11 troca da correia .,robson \ wf11 troca da correia .,
robson\ ck5 troca do tambor .,robson\ ck5 troca do tambor .,
luciano\ cr2 solda nas trincas do anel do eixo do rotor.,luciano\ cr2 solda nas trincas do anel do eixo do rotor.,
"main\ c5615 levantar contra peso, apoio manunteçao da troca da correia.","main\ c5615 levantar contra peso, apoio manuntecao da troca da correia.",
jhonatan\atendimento ao prontidao cke2,jhonatan\atendimento ao prontidao cke2,
"Renato vilvoque \ trocador do assoprador A ,no tratamento de gas .","renato vilvoque \ trocador do assoprador a ,no tratamento de gas .",
luciano \ preparaçao para troca do rolamento da mgk22,luciano \ preparacao para troca do rolamento da mgk22,
main\ troca do britador cr2,main\ troca do britador cr2,
main\ troca do  rotor do britador cr3,main\ troca do  rotor do britador cr3,
prontidao\ solda nas trinca da bucha do rotro do cr3 e torqueamneto dos tirantes.,prontidao\ solda nas trinca da bucha do rotro do cr3 e torqueamneto dos tirantes.,
FABRBRICACAO DE CALHA PARA DESVIO DE MATERIAL,fabrbricacao de calha para desvio de material,
atendimento ao turno mecanico,atendimento ao turno mecanico,
troca da bomda de steves,troca da bomda de steves,
atendimento ao PCI,atendimento ao pci,
atendimento ao AF03,atendimento ao af03,
Desempedimento Peneira 13,desempedimento peneira 13,
desempedimento peneira 13,desempedimento peneira 13,
Calibraçao da balança 11,calibracao da balanca 11,
Troca da peneira 14,troca da peneira 14,
Troca tubulaçao Peneira Coque 02,troca tubulacao peneira coque 02,
calibraçao peneira 05,calibracao peneira 05,
Parad convertedor,parad convertedor,
montagem balança  16,montagem balanca  16,
Retorno FM03,retorno fm03,
Impedimento para solda do tambor da CTP,impedimento para solda do tambor da ctp,
Atendimento a area,atendimento a area,
Atendimento FC02,atendimento fc02,
Atendimento peneira de coque 01,atendimento peneira de coque 01,
JUNTA DE EXPANSÃO DA PENEIRA VIBRATÓRIA DA MOAGEM 1. PCI,junta de expansao da peneira vibratoria da moagem 1. pci,
PREVENTIVA NA BDL 3 E 4. TROCA DA VÁLVULA DE SAÍDA DA BDL 4 E DESTRAVAMENTO DA VÁLVULA DA BDL 3 ENTR,preventiva na bdl 3 e 4. troca da valvula de saida da bdl 4 e destravamento da valvula da bdl 3 entr,
ATIVIDADE BDL 1 E 2 DOCUMENTAÇÃO GARRADA TIRANDO BLOQUEIO E TESTANDO.,atividade bdl 1 e 2 documentacao garrada tirando bloqueio e testando.,
TROCA DA BB DO TANQUE DE ÁGUA QUENTE,troca da bb do tanque de agua quente,
TROCA DO ROTOR DO VENTILADOR DE AR DE COMBUSTÃO.,troca do rotor do ventilador de ar de combustao.,
DESACOPLAMENTO DO REDUTOR DA PONTE CASA 2 PARA MONTAGEM DO NOVO ACOPLAMENTO MODIFICADO PELA ELETRICA,desacoplamento do redutor da ponte casa 2 para montagem do novo acoplamento modificado pela eletrica,
ATIVIDADE NA PONTE 02 CASA DE CORRIDA,atividade na ponte 02 casa de corrida,
ALINHAMENTO DA BOMBA DE RECIRCULAÇÃO 01,alinhamento da bomba de recirculacao 01,
ATIVIDADES NAS VÁLVULAS DA BACIA SUPERIOR,atividades nas valvulas da bacia superior,
TROCA DA BOMBA DE RECIRCULAÇAO 01.,troca da bomba de recirculacao 01.,
FOI REALIZADO PREPARAÇÃO DA TROCA DA VÁLVULA NO HS2.,foi realizado preparacao da troca da valvula no hs2.,
ATENDIMENTO CASA DE CORRIDA AF02,atendimento casa de corrida af02,
TROCA DA VÁLVULA PCV DO HS 3.,troca da valvula pcv do hs 3.,
MONTAGEM DO ROTOR NO VENTILADOR DE AR DE COMBUSTÃO NUMERO 1. AF3,montagem do rotor no ventilador de ar de combustao numero 1. af3,
BALANCIAMENTO DO ROTOR DO VENTILADOR DE AR COMBUSTÃO 1.,balanciamento do rotor do ventilador de ar combustao 1.,
TROCA DO MOTOR DE GIRO DO PERFURADOR 3.,troca do motor de giro do perfurador 3.,
TROCA DO SILINDRO DO CANHÃO DE LAMA 2 DO AF2.,troca do silindro do canhao de lama 2 do af2.,
ORGANIZAÇÃO GALPÃO 8,organizacao galpao 8,
TROCA DA JUNTA DE ESPANÇÃO DO VENTILADOR DE AR DE COMBUSTÃO NUMEO 1.,troca da junta de espancao do ventilador de ar de combustao numeo 1.,
TROCA DA CARRIAGEM AF2,troca da carriagem af2,
MONTAGEM DA CARRIAGEM DO AF2.,montagem da carriagem do af2.,
MONTAGEM DA LANÇA MÓVEL TOPO FORNO 3.,montagem da lanca movel topo forno 3.,
ACOMPANHANDO RETORNO DE FORNO 3.POR CAUSA DE QUEDA NA FOX.,acompanhando retorno de forno 3.por causa de queda na fox.,
ATIVIDADE NA BOMBA 3 DO TANQUE DE ÁGUA FRIA.,atividade na bomba 3 do tanque de agua fria.,
RETIRADA DO ROLAMENTO DO GIBE CASA 02.,retirada do rolamento do gibe casa 02.,
"MONTAGEM DO GIB 2,ROLAMENTO","montagem do gib 2,rolamento",
ATENDIMENTO A OCORRENCIA BLACKAUT,atendimento a ocorrencia blackaut,
RETIRADA DE CHAPAS  TÉMICAS DA LINHA DO CANAL 03.,retirada de chapas  temicas da linha do canal 03.,
"TROCA DA ALGARAVIX 19, REAPERTO DOS CONJUNTOS E TROCA DAS GAXETAS DAS TAMPAS.","troca da algaravix 19, reaperto dos conjuntos e troca das gaxetas das tampas.",
FABRICAÇÃO DOS CARRETEIS DE 14¨DO TROCADOR DE CALOR AF3.,"fabricacao dos carreteis de 14""do trocador de calor af3.",
DESOBISTRUIR BDLS 3 E 4,desobistruir bdls 3 e 4,
TROCA DO MOTOR DA PONTE 1 DA CASA DE CORRIDA DO AF3,troca do motor da ponte 1 da casa de corrida do af3,
MONTAGEM DO MOTOR DE GIRO DO GIBE 2 E LIMPEZA E ORGANIZAÇÃO DA ÁREA DA CASA DE CORRIDA.,montagem do motor de giro do gibe 2 e limpeza e organizacao da area da casa de corrida.,
PAARADA DE FINOS DE MINÉRIO NO CARREGAMENTO DO AF3,paarada de finos de minerio no carregamento do af3,
PREPARAÇÃO DA TROCA DO ROLAMENTO DO GIBE 2,preparacao da troca do rolamento do gibe 2,
ATENDIMENTO DA TROCA DO VENTILADOR E REDUTOR DA REFRIGERAÇÃO DO ALTO FORNO 3,atendimento da troca do ventilador e redutor da refrigeracao do alto forno 3,
atendimento a casa de corrida do af.02,atendimento a casa de corrida do af.02,
fixar placas de espaço confinado.,fixar placas de espaco confinado.,
troca de malhas na peneira de coque 01.,troca de malhas na peneira de coque 01.,
acompanhamento ao AF.02,acompanhamento ao af.02,
calibraçao de balanças do carregamento AF02.,calibracao de balancas do carregamento af02.,
calibraçao de balanças.AF2,calibracao de balancas.af2,
calibraçao da fundente 02.carregamento AF.2,calibracao da fundente 02.carregamento af.2,
troca do redutor da correia FM21.carregamento AF02.,troca do redutor da correia fm21.carregamento af02.,
troca de malhas na peneira de coque 02.,troca de malhas na peneira de coque 02.,
atendimento ao turno mecanico.,atendimento ao turno mecanico.,
acompanhar retorno do AF.02,acompanhar retorno do af.02,
troca de malhas na peneira de coque 04.,troca de malhas na peneira de coque 04.,
reposicionar av do silo de fundentes 02.,reposicionar av do silo de fundentes 02.,
troca da bomba da refrigeraçao AF.02,troca da bomba da refrigeracao af.02,
atendimento a casa de corrida do AF02.,atendimento a casa de corrida do af02.,
POSICIONAR O AV. DE FUNDENTES.02 .,posicionar o av. de fundentes.02 .,
TROCA DE MALHAS DE COQUE. CARREGAMENTO AF.02,troca de malhas de coque. carregamento af.02,
ATENDIMENTO AO TURNO MECÂNICO.,atendimento ao turno mecanico.,
TROCA DA GUIA DE FUNDENTES.01. CARREGAMENTO AF.02.,troca da guia de fundentes.01. carregamento af.02.,
TROCA VIBRADOR EXENTRICO CARREGAMENTO AF.02,troca vibrador exentrico carregamento af.02,
TROCA DA BOMBA NUMERO 02.DE VENTANEIRA AF.02,troca da bomba numero 02.de ventaneira af.02,
MODIFICAR PENEIRA DE MINERIO 01. CARREGAMENTO AF.02,modificar peneira de minerio 01. carregamento af.02,
MODIFICAR PENEIRA DE MINERIO 01.CARREGAMENTO AF.02,modificar peneira de minerio 01.carregamento af.02,
ATENDIMENTO A LANÇA MOVEL DO AF.02.,atendimento a lanca movel do af.02.,
TRANSPORTAR LANÇA DE SONDAGEN PARA O GALPÃO DO TURNO.,transportar lanca de sondagen para o galpao do turno.,
ACOMPANHAMENTO DO (HBI).,acompanhamento do (hbi).,
TROCA DE MALHAS E VIGAS LATERAIS.,troca de malhas e vigas laterais.,
TROCA DO VENTILADOR 02 DA TORRE DE REFRIGERAÇAO.,troca do ventilador 02 da torre de refrigeracao.,
TROCA DA MOTOR.BBA 01-PU 403 01.,troca da motor.bba 01-pu 403 01.,
solicitação da supervisão para dar suporte a letra D,solicitacao da supervisao para dar suporte a letra d,
Troca de Letra da A para D,troca de letra da a para d,
"ônibus não passou na área para levar até a rodoviária, com isso não foi possível pegar ônibus adm.","onibus nao passou na area para levar ate a rodoviaria, com isso nao foi possivel pegar onibus adm.",
preparação para troca da válvula rotativa balão de pó,preparacao para troca da valvula rotativa balao de po,
troca da válvula rotativa e acompanhamento da descarga do balão de pó.,troca da valvula rotativa e acompanhamento da descarga do balao de po.,
TROCA DO MOTOR PUG MILL 1.,troca do motor pug mill 1.,
válvula PRV 1,valvula prv 1,
Troca do cilindro da válvula septum 1,troca do cilindro da valvula septum 1,
alinhamento da bomba 1 do vs.,alinhamento da bomba 1 do vs.,
limpeza do coriólis BTL 1,limpeza do coriolis btl 1,
acopanhamento de retorno do alto forno 2,acopanhamento de retorno do alto forno 2,
quebra válvula REV,quebra valvula rev,
montagem da acionamento válvulas REV,montagem da acionamento valvulas rev,
prontidão do para aconhamento do alto forno 1,prontidao do para aconhamento do alto forno 1,
Sinergia sinter.,sinergia sinter.,
PENEIRA DE MINEIRO 8.,peneira de mineiro 8.,
RETIRADA DE MATERIAL EMBAIXO DA CTP.,retirada de material embaixo da ctp.,
TRABALHANDO NO ATENDIMENTO DO TURNO MECÂNICO.,trabalhando no atendimento do turno mecanico.,
CALIBRAÇÃO DA TREMONHA 11.,calibracao da tremonha 11.,
PREPARAÇÃO PARA A TROCA DO TAMBOR DE FREIO DA M-01.,preparacao para a troca do tambor de freio da m-01.,
TROCA DA TREMONHA 4.,troca da tremonha 4.,
TROCA DA TREMONHA 4,troca da tremonha 4,
PENEIRA E TROCA DE CHAPAS DA TREMONHA.,peneira e troca de chapas da tremonha.,
TROCA DA TREMONHA 17.,troca da tremonha 17.,
troca da ant-calha da peneira de minério 4.,troca da ant-calha da peneira de minerio 4.,
TROCA DA PENEIRA 14.,troca da peneira 14.,
peneira de minerio 18.,peneira de minerio 18.,
peneira de minério 8.,peneira de minerio 8.,
troca da ant-calha da peneira de minério 5.,troca da ant-calha da peneira de minerio 5.,
peneira de minério 13.,peneira de minerio 13.,
calibração da tremonha 5.,calibracao da tremonha 5.,
Troca da caixa de despoeiramento da tremonha 6.,troca da caixa de despoeiramento da tremonha 6.,
Troca da caixa de recebimento da tremonha 16.,troca da caixa de recebimento da tremonha 16.,
Organização e limpeza de área.,organizacao e limpeza de area.,
troca da peneira 4 de minério.,troca da peneira 4 de minerio.,
Montagem de placas de identificação de baias do pátio 314.,montagem de placas de identificacao de baias do patio 314.,
Troca do tambor acionado da FM-03.,troca do tambor acionado da fm-03.,
Troca do motor redutor da peneira de coque 4 do AF-O3.,troca do motor redutor da peneira de coque 4 do af-o3.,
Montagem das telhas da CTP.,montagem das telhas da ctp.,
solda do tambor n°6 da CTP.,solda do tambor ndeg6 da ctp.,
SINTER,sinter,
Solda da trina do tambor Nº6 da CTP.,solda da trina do tambor no6 da ctp.,
Troca de óleo do acoplamento hidraúlico e do fusível da M-02.,troca de oleo do acoplamento hidraulico e do fusivel da m-02.,
peneira de minério 7.,peneira de minerio 7.,
Acompanhar a temperatura do forno.,acompanhar a temperatura do forno.,
Troca de ventaneira e solda no tambor 6 da CTP.,troca de ventaneira e solda no tambor 6 da ctp.,
solda no espelho do tambor Nº6 da CTP.,solda no espelho do tambor no6 da ctp.,
peneira de coque 2.,peneira de coque 2.,
TROCA DE MALHA DA PENEIRA 4 DE COQUE.,troca de malha da peneira 4 de coque.,
Atendimento na casa de corrida do AF-01.,atendimento na casa de corrida do af-01.,
Montagem do corrimão na parte superior do contra peso da CTP.,montagem do corrimao na parte superior do contra peso da ctp.,
SUPORTE NA ILHA AF03,suporte na ilha af03,
Demandas administrativas PPC,demandas administrativas ppc,
FABRICAÇÃO E INSTALAÇÃO TUBULAÇÃO N2,fabricacao e instalacao tubulacao n2,
APOIO A ROTINA,apoio a rotina,
APOIO TURNO,apoio turno,
ATENDIMENTO TURNO LETRA C,atendimento turno letra c,
TROCA DA BOMBA  JP1,troca da bomba  jp1,
MONTAGEM RASPADOR,montagem raspador,
MONTAR BOMBA PC 0108,montar bomba pc 0108,
COLOCAR MOTOR DO EXASTOR,colocar motor do exastor,
ALINHA BOMBA,alinha bomba,
TROCADOR DE CALOR 1701A,trocador de calor 1701a,
MONTAR MOTOR EXAUSTOR,montar motor exaustor,
ATIVIDADE EXAUSTOR DE GAS,atividade exaustor de gas,
ACOMPANHA  MANOBRA  VALVULA AREA 82,acompanha  manobra  valvula area 82,
MANOBRA NO LAVADOR DE GAS,manobra no lavador de gas,
"REPARO TUBULAÇÃO DE AMONIA , VOLTA DA COLUNA","reparo tubulacao de amonia , volta da coluna",
"TROCA VIBRADOR GHK1 , PREPARAÇÃO MOTOR EXAUSTOR","troca vibrador ghk1 , preparacao motor exaustor",
TROCA DA RODA  MESA GIRATORIA,troca da roda  mesa giratoria,
PC 502 A TROCA MOTOR,pc 502 a troca motor,
TROCA DO MOTOR 8202 B,troca do motor 8202 b,
TROCA VALVULA CHILER AREA 80,troca valvula chiler area 80,
PREPARAÇÃO TROCA VALVULA AGUA DO MAR,preparacao troca valvula agua do mar,
TROCA ROUDANA  C5619,troca roudana  c5619,
INTERLIGAÇÃO TQ 1 E TQ 2 E TROCA DO MOTOR 109 D PARA C,interligacao tq 1 e tq 2 e troca do motor 109 d para c,
ATENDER TURNO,atender turno,
"ATENDIMENTO GAS , CARVÃO E PREPARAÇÃO","atendimento gas , carvao e preparacao",
ATENDIMENTO PATIO CARVÃO,atendimento patio carvao,
ACOMPANHA ROTA DE RECEBIMENTO,acompanha rota de recebimento,
ATENDIMENTO NA CALDEIRA,atendimento na caldeira,
TROCA DO MOTOR TRATAMENTO GAS,troca do motor tratamento gas,
ATENDIMENTO GAS E PATIO DE CARVÃO,atendimento gas e patio de carvao,
TROCA TAMBOR PATIO CARVÃO,troca tambor patio carvao,
DESOBISTRUIR PLACA DE ORIFICIO LINHA DE COG,desobistruir placa de orificio linha de cog,
MONTAR TUBULAÇÃO TAG,montar tubulacao tag,
TROCA DO MOTOR 1502B,troca do motor 1502b,
TROCA DO COMPRESSOR  DE COG,troca do compressor  de cog,
TROCA DO ROTOR 0101 C,troca do rotor 0101 c,
TROCA DO DOSADOR DE CAL,troca do dosador de cal,
CONFERIR GAP TAMBORES E CONFERIR ACIONAMENTO AREA COQ,conferir gap tambores e conferir acionamento area coq,
MANOBRA AGUA DO MAR,manobra agua do mar,
MONTAR VALVULA AREA 17,montar valvula area 17,
MONTAR RAQUETE LINHA DO GRUPO FRIGORIFICO,montar raquete linha do grupo frigorifico,
MONTAR MOTOR COMPRESSOR COG,montar motor compressor cog,
RECOLHER MOTOR EXAUSTOR,recolher motor exaustor,
SANAR VAZEMENTO TUBULAÇAO COLUNA,sanar vazemento tubulacao coluna,
TROCA DA BOMBA JP7,troca da bomba jp7,
TROCA BOMBA JP7,troca bomba jp7,
APOIANDO TURNO,apoiando turno,
TROCA DO TRECHO NH3 COLUNA DE AMONIA,troca do trecho nh3 coluna de amonia,
TROCAR TRANSMISOR DE VAZAO DA CALDERINHA,trocar transmisor de vazao da calderinha,
SANAR VAZAMNETO TRAÇO DE VAPOR CLAUS,sanar vazamneto traco de vapor claus,
TROCA TAMBOR CK03,troca tambor ck03,
RECUPERAÇAO PATIO DE CARVÃO,recuperacao patio de carvao,
SUBIR BAG AREA 50,subir bag area 50,
TROCAR SOPRADOR CLAUS,trocar soprador claus,
PREPARAÇÃO TROCA ROTOR 101,preparacao troca rotor 101,
Atendimento as demandas do granulador de escória,atendimento as demandas do granulador de escoria,
atendimento a serviços do GE e PVU,atendimento a servicos do ge e pvu,
atendimento ao Granulador de escoria,atendimento ao granulador de escoria,
a,a,
RELATORIO DE CUSTOS A SEREM DEBITADOS  EM 2024 IGFP,relatorio de custos a serem debitados  em 2024 igfp,
atendimento a demandas de GE e PVU,atendimento a demandas de ge e pvu,
atendimento ao Granulador de escoria e PVU,atendimento ao granulador de escoria e pvu,
Atendimento aos fornos parados,atendimento aos fornos parados,
Incendio no INBA do AF02,incendio no inba do af02,
Reparo na peneira de sinter 02,reparo na peneira de sinter 02,
Calibração da balança de fundentes 03,calibracao da balanca de fundentes 03,
Calibração da balança de sinter 01,calibracao da balanca de sinter 01,
Troca do rotor ventilador 01 HS,troca do rotor ventilador 01 hs,
Troca da pinça perfurador 01 AF02,troca da pinca perfurador 01 af02,
Motor ponte AF02,motor ponte af02,
Carreagem AF02,carreagem af02,
atemdimento na área sem realizar horario de descanso,atemdimento na area sem realizar horario de descanso,
cobrindo colaborador afastado motivo saude!,cobrindo colaborador afastado motivo saude!,
atemdimento ao perfurador 01 do alto forno 02,atemdimento ao perfurador 01 do alto forno 02,
atemdimento ao perfurador 4 da casa de corrida alto forno 1!,atemdimento ao perfurador 4 da casa de corrida alto forno 1!,
cobrindo o colaborador igor letra c!,cobrindo o colaborador igor letra c!,
"estavamos em dois atendendo,area dos altos fornos,não tivemos tempo em fazer o horario de almoço!","estavamos em dois atendendo,area dos altos fornos,nao tivemos tempo em fazer o horario de almoco!",
atemdimento na rotina dos altos fornos!!,atemdimento na rotina dos altos fornos!!,
cobrindo o broeto afastado motivo saude.,cobrindo o broeto afastado motivo saude.,
acompanhamento do alto fornor 01!!,acompanhamento do alto fornor 01!!,
Aguardando retorno do forno,aguardando retorno do forno,
Reparo na peneira de sinter 2,reparo na peneira de sinter 2,
Trocador de calor,trocador de calor,
Atendimento Peneira CS07,atendimento peneira cs07,
Calibração balança,calibracao balanca,
Troca da bomba de incendio principal 2,troca da bomba de incendio principal 2,
Atendimento peneira de coque 2,atendimento peneira de coque 2,
Atendimento ao PCI,atendimento ao pci,
Troca Correia FM25,troca correia fm25,
Acompanhamento do retorno do forno,acompanhamento do retorno do forno,
Organização do galpão,organizacao do galpao,
Troca da correia FM26,troca da correia fm26,
Organização do Galpão,organizacao do galpao,
Troca correia FM24,troca correia fm24,
Peneira OB05 Celula vibratoria,peneira ob05 celula vibratoria,
Peneira de sinter 1,peneira de sinter 1,
Tambor acionamento FC27,tambor acionamento fc27,
ALINHAMENTO BOMBA 3 TANQUE DE AGUA FRIA SUP ALLAN,alinhamento bomba 3 tanque de agua fria sup allan,
Acompanhamento AF2 escala HBI,acompanhamento af2 escala hbi,
Peneira de coque 3,peneira de coque 3,
Peneira de sinter 3,peneira de sinter 3,
Escala HBI,escala hbi,
Acompanhamento HBI,acompanhamento hbi,
LIMPEZA DE ROTA DO PCI,limpeza de rota do pci,
Limpeza de carteira - programação,limpeza de carteira - programacao,
Gestão de carteira,gestao de carteira,
Prontidão para atender o plano de pressurização e atividades criticas do PVU e Interação de seguranç,prontidao para atender o plano de pressurizacao e atividades criticas do pvu e interacao de seguranc,
Finalizando o plano de reação dos metalicos bateria 3.,finalizando o plano de reacao dos metalicos bateria 3.,
"Cobrindo férias do planejador,  realizado serviços pendentes de rotina (programação) e apoio a Rip","cobrindo ferias do planejador,  realizado servicos pendentes de rotina (programacao) e apoio a rip",
FINALIZAR PROGRAMAÇÃO DO DIA SEGUINTE E 14 OMS PARA OFICNA DE PORTAS.,finalizar programacao do dia seguinte e 14 oms para oficna de portas.,
"Finalizando programação,  RC de materiais para Abril e Maio, apoio na manobra 117 e apoio atividades","finalizando programacao,  rc de materiais para abril e maio, apoio na manobra 117 e apoio atividades",
Interação de Segurança com as Equipes PVU/Obra - Quarentena de segurança,interacao de seguranca com as equipes pvu/obra - quarentena de seguranca,
"Acompanhamento na elevação do PCI - Liberação dos fornos 74,133e141-Finalizar Lanches e programação.","acompanhamento na elevacao do pci - liberacao dos fornos 74,133e141-finalizar lanches e programacao.",
Acompanhamento para liberar a ERP2.,acompanhamento para liberar a erp2.,
ermergencia venbtaneira af 2,ermergencia venbtaneira af 2,
troca da grisco rota par moagem 1,troca da grisco rota par moagem 1,
troca do vemtilador moagem 3,troca do vemtilador moagem 3,
troca das retencoes vaso 2 moagem 3,troca das retencoes vaso 2 moagem 3,
troca da celulla vibratoria da balamca de sinter 1,troca da celulla vibratoria da balamca de sinter 1,
trocada da bomba jock,trocada da bomba jock,
troca da carriagem do canhao do AF 02,troca da carriagem do canhao do af 02,
preparacao da lança movel,preparacao da lanca movel,
acompanhamento a instabilidade do af 03,acompanhamento a instabilidade do af 03,
atendimento ocorrencia blackot,atendimento ocorrencia blackot,
preventiva na sinter 3,preventiva na sinter 3,
troca das logarinas da coque 4,troca das logarinas da coque 4,
troca dos tirantes da celula vibratoria,troca dos tirantes da celula vibratoria,
preventiva na balanca,preventiva na balanca,
organizacao da area,organizacao da area,
atendimento ao pci,atendimento ao pci,
troca da celula de carga,troca da celula de carga,
limpesa e organizacao topo e carregamento,limpesa e organizacao topo e carregamento,
organizacao topo e carregamento,organizacao topo e carregamento,
atendimento a sinergia (iriti aciaria),atendimento a sinergia (iriti aciaria),
troca da fm 26,troca da fm 26,
troca do ventilador 2,troca do ventilador 2,
absenteismo. opeacao na MD2,absenteismo. opeacao na md2,
absenteismo. operacao na MD1,absenteismo. operacao na md1,
absenteismo. operacao no GC3,absenteismo. operacao no gc3,
absenteismo. operacao no CC4,absenteismo. operacao no cc4,
absenteismo. operacao no GC1,absenteismo. operacao no gc1,
absenteismo. operacao na MD3,absenteismo. operacao na md3,
absenteismo. opeacao na GC3,absenteismo. opeacao na gc3,
absenteismo. opeacao na bateria 3,absenteismo. opeacao na bateria 3,
APOIO OPERACIONAL LC BATERIA 3,apoio operacional lc bateria 3,
atendimento a GC3,atendimento a gc3,
absenteismo.,absenteismo.,
absenteismo. opeacao na bateria 4,absenteismo. opeacao na bateria 4,
apoio operacional ao guia de coque 3,apoio operacional ao guia de coque 3,
"atendimento ao topo , operacao carregamento","atendimento ao topo , operacao carregamento",
atendimento operacional a MD1,atendimento operacional a md1,
apoio operacional equipe c,apoio operacional equipe c,
abscenteismo,abscenteismo,
nr 10,nr 10,
"atraso na troca de turno, devido entrada do transporte atrasado.","atraso na troca de turno, devido entrada do transporte atrasado.",
operarção de equipamentos moveis diverso.,operarcao de equipamentos moveis diverso.,
Espaço Confinado,espaco confinado,
nr 20 avançado 1,nr 20 avancado 1,
aguardando rendição na maquina,aguardando rendicao na maquina,
nr 35 trabalho em altura,nr 35 trabalho em altura,
ACOMPANHAR VOLTO DO AFO 1/2,acompanhar volto do afo 1/2,
OXIGENIO ALTO NA MOAGEM 2,oxigenio alto na moagem 2,
TROCA DA VALVULA GRIZTKO,troca da valvula griztko,
LINHAS DE INJEÇÃO AFO1,linhas de injecao afo1,
ACOMPANHAMENTO MOAGEM 3/ VENTILADOR PRINCIPAL,acompanhamento moagem 3/ ventilador principal,
ACOMPANHAMENTO VENTILADOR PRINCIPAL MOAGEM 3,acompanhamento ventilador principal moagem 3,
TROCA DE SINTERIZADO VASO 2 / AFO2,troca de sinterizado vaso 2 / afo2,
"TROCA DE MANGAS, MOAGEM 1/FILTRO B","troca de mangas, moagem 1/filtro b",
"TROCA DE MANGA, MOAGEM 1 / FILTRO B","troca de manga, moagem 1 / filtro b",
ATENDIMENTO AS MOAGENS 1/2 E 3,atendimento as moagens 1/2 e 3,
MOAGEM 1/ TKF CARVÃO BRUTO,moagem 1/ tkf carvao bruto,
PREVENTIVA PERFURADOR E CANHÃO 01 AFO2,preventiva perfurador e canhao 01 afo2,
ATIVIDADES ADMINISTRATIVAS,atividades administrativas,
TROCA DO ANEL O´RING DO CILINDRO DE GIRO DA PERFURATRIZ 1,troca do anel o'ring do cilindro de giro da perfuratriz 1,
AJUSTE NO CILINDRO DE GIRO DO CANHÃO 1 / AFO2,ajuste no cilindro de giro do canhao 1 / afo2,
PREPARAÇÃO TROCA DO CILINDRO DE GIRO CANHÃO 1/ AFO2,preparacao troca do cilindro de giro canhao 1/ afo2,
TROCA DO CILINDRO DE GIRO CANHÃO 1/AFO2,troca do cilindro de giro canhao 1/afo2,
TROCA DO CILINDRO DE INJEÇÃO 1 / AFO2,troca do cilindro de injecao 1 / afo2,
MONTAGEM DO MOTOR DA PONTE CASA DE CORRIDA AFO2,montagem do motor da ponte casa de corrida afo2,
ATENDIMENTO Á OPERAÇÃO PARA RETIRAR VIGA DO PISO MOVEL/CASA DE CORRIDA AFO2,atendimento a operacao para retirar viga do piso movel/casa de corrida afo2,
"TROCA DA MARRETA,CANAL 1 AFO2","troca da marreta,canal 1 afo2",
TROCA DA CARRIAGEM AFO2 /CANHÃO DE LAMA 2,troca da carriagem afo2 /canhao de lama 2,
RETORNO AFO2,retorno afo2,
RETIRADA DE CONDIÇOES INSEGURAS/AFO2,retirada de condicoes inseguras/afo2,
ACOMPANHAMENTO DA TROCA DA BOMBA 6 DO SISTEMA DE LUBRIFICAÇÃO DAS PERFURATRIZES,acompanhamento da troca da bomba 6 do sistema de lubrificacao das perfuratrizes,
TROCA DOS TIRANTES DE RREGULAGEM DO CANHÃO 01 / AFO2,troca dos tirantes de rregulagem do canhao 01 / afo2,
ACOMPANHAMENTO AO TURNO MECANICO/ REPARO BICO CANHÃO 1 AFO2,acompanhamento ao turno mecanico/ reparo bico canhao 1 afo2,
REALOCAMENTO DE MATERIAIS EM AREA PARA AXO8.,realocamento de materiais em area para axo8.,
PREPARAÇÃO DE PARTADA AF 03,preparacao de partada af 03,
AF-01 DECAPAGEM TUBOS DE REFRIGERAÇÃO CADINHO,af-01 decapagem tubos de refrigeracao cadinho,
AF-01 PARAD PROGRAMADA RETORNO FORNO,af-01 parad programada retorno forno,
"AF02 INBA , RESTABELECIMENTO SPRAY REFRI DRAY PIT","af02 inba , restabelecimento spray refri dray pit",
AF02 INBA 2 PREPARAÇÃO SPRAY RESFRIAMENTO DRY PIT,af02 inba 2 preparacao spray resfriamento dry pit,
AF02 INBA MONTAGEM TUB SPRAY DRY PIT 02.,af02 inba montagem tub spray dry pit 02.,
cobrindo funcionario afastado,cobrindo funcionario afastado,
apoio operacional.Guia de coque1,apoio operacional.guia de coque1,
abseteismo-ausencia de empregado,abseteismo-ausencia de empregado,
atraso na saida do onibus,atraso na saida do onibus,
operacao no guia de coque  1,operacao no guia de coque  1,
NR 20 AVANÇADO I,nr 20 avancado i,
rendição chegou tarde na area,rendicao chegou tarde na area,
