Justificativa,Justificativa_processada,Classificacao,Justificativa_classificada
Main - Prontidão - Troca do acoplamento da bomba PC-0501 F.,main - prontidao - troca do acoplamento da bomba pc-0501 f.,,Manutenção/Inspeção/Teste de Máquina
Main-Prontidão- C-5608-Preparação envolvendo atividades para troca da base e do tambor da correia.,main-prontidao- c-5608-preparacao envolvendo atividades para troca da base e do tambor da correia.,,Manutenção/Inspeção/Teste de Máquina
Robson - CK-2 - Posicionamento da correia para reparo.,robson - ck-2 - posicionamento da correia para reparo.,,Manutenção/Inspeção/Teste de Máquina
Robson - CK-7 - Acompanhamento da performance da correia.,robson - ck-7 - acompanhamento da performance da correia.,,Manutenção/Inspeção/Teste de Máquina
Robson - CK-1 - Atividades na correia.,robson - ck-1 - atividades na correia.,,Manutenção/Inspeção/Teste de Máquina
Robson - CK-6 - Preparação para troca do acionamento.,robson - ck-6 - preparacao para troca do acionamento.,,Manutenção/Inspeção/Teste de Máquina
Robson - Atendimento área do coque.,robson - atendimento area do coque.,,Não Classificado
Robson - CK-2 - Instalação de rolos e vedações na correia.,robson - ck-2 - instalacao de rolos e vedacoes na correia.,,Manutenção/Inspeção/Teste de Máquina
Robson - CK-2 - Preventiva no acionamento.,robson - ck-2 - preventiva no acionamento.,,Manutenção/Inspeção/Teste de Máquina
Luciano - CK-5 - Acompanhamento mancal do tambor número 3.,luciano - ck-5 - acompanhamento mancal do tambor numero 3.,,Manutenção/Inspeção/Teste de Máquina
"Robson -CK-4 e CK-6 - Verificar expessura da correia, CK-5 - Invertido porca do rolamento.","robson -ck-4 e ck-6 - verificar expessura da correia, ck-5 - invertido porca do rolamento.",,Manutenção/Inspeção/Teste de Máquina
Robson - Trac 5.,robson - trac 5.,,Não Classificado
Robson - Atendimento Área do coque.,robson - atendimento area do coque.,,Não Classificado
Robson - SK-1 - Acompanhamento montagem malhas.,robson - sk-1 - acompanhamento montagem malhas.,,Manutenção/Inspeção/Teste de Máquina
Robson - Troca do redutor CK-6.,robson - troca do redutor ck-6.,,Manutenção/Inspeção/Teste de Máquina
Luciano - Reparo na correia  CK-2.,luciano - reparo na correia  ck-2.,,Manutenção/Inspeção/Teste de Máquina
Luciano - Calha vibratória CKE-2,luciano - calha vibratoria cke-2,,Parada de Máquina
Prontidão - Normalização da calha vibratória CKE-2.,prontidao - normalizacao da calha vibratoria cke-2.,,Manutenção/Inspeção/Teste de Máquina
MGK-22 - Troca da bucha da mesa giratória.,mgk-22 - troca da bucha da mesa giratoria.,,Manutenção/Inspeção/Teste de Máquina
"Britador - Acompanhamento equipe oficina central, atividade no rotor que está no ""berço"".","britador - acompanhamento equipe oficina central, atividade no rotor que esta no ""berco"".",,Manutenção/Inspeção/Teste de Máquina
reforma do espessador Tratamento de agua AF3,reforma do espessador tratamento de agua af3,,Manutenção/Inspeção/Teste de Máquina
atendimento na PR01 casa de corrida AF3,atendimento na pr01 casa de corrida af3,,Não Classificado
atendimento espessador AF3,atendimento espessador af3,,Não Classificado
prontidão ( espessador AF3),prontidao ( espessador af3),,Manutenção/Inspeção/Teste de Máquina
solicitação para normalizar ar condicionado sala de operação da casa de corrida AF2,solicitacao para normalizar ar condicionado sala de operacao da casa de corrida af2,,Manutenção/Inspeção/Teste de Máquina
Carregamento AF3 ( Balança de sinter 2),carregamento af3 ( balanca de sinter 2),,Parada de Máquina
acompanhar retorno do Alto forno 3,acompanhar retorno do alto forno 3,,Manutenção/Inspeção/Teste de Máquina
troca da válvula de equalização HS3,troca da valvula de equalizacao hs3,,Manutenção/Inspeção/Teste de Máquina
atendimento na troca da célula de carga da balança de minério 2,atendimento na troca da celula de carga da balanca de minerio 2,,Manutenção/Inspeção/Teste de Máquina
troca da correia de finos de minerio FM26 AF3,troca da correia de finos de minerio fm26 af3,,Manutenção/Inspeção/Teste de Máquina
troca da correia FM24 carregamento AF3,troca da correia fm24 carregamento af3,,Manutenção/Inspeção/Teste de Máquina
acompanhamento AF3,acompanhamento af3,,Manutenção/Inspeção/Teste de Máquina
desligar motor e componentes eletricos da bomba n°3  do tanque de agua fria AF3,desligar motor e componentes eletricos da bomba ndeg3  do tanque de agua fria af3,,Manutenção/Inspeção/Teste de Máquina
Troca da bomba 3 do tanque de agua fria do tratamento de agua AF3,troca da bomba 3 do tanque de agua fria do tratamento de agua af3,,Manutenção/Inspeção/Teste de Máquina
troca do motor de içamento do espessador 1 do tratamento de agua AF3,troca do motor de icamento do espessador 1 do tratamento de agua af3,,Manutenção/Inspeção/Teste de Máquina
normalizar encoder furo de gusa 4,normalizar encoder furo de gusa 4,,Manutenção/Inspeção/Teste de Máquina
pré uso canhao 4 e troca da valvula de N2 do canal 4,pre uso canhao 4 e troca da valvula de n2 do canal 4,,Manutenção/Inspeção/Teste de Máquina
iluminaçao do caminho de segurança IGFE,iluminacao do caminho de seguranca igfe,,Não Classificado
valvula de equalização do HS2 AF3,valvula de equalizacao do hs2 af3,,Manutenção/Inspeção/Teste de Máquina
troca do motor de içamento PR01 casa de corrida 1 AF3,troca do motor de icamento pr01 casa de corrida 1 af3,,Manutenção/Inspeção/Teste de Máquina
"organização e limpeza nas areas do HS, Limpeza de gás e tratamento de agua.","organizacao e limpeza nas areas do hs, limpeza de gas e tratamento de agua.",,Outros Eventos Externos
Montagem do eletrocilindro Dg-5,montagem do eletrocilindro dg-5,,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAR ATIVIDADE DE VULCANIZAÇÃO NA CORREIA CK-3,acompanhar atividade de vulcanizacao na correia ck-3,,Manutenção/Inspeção/Teste de Máquina
PREPARAÇÃO DA CORREIA CK-3. TROCA DO TAMBOR DE CAUDA E DESCARGA C-5619,preparacao da correia ck-3. troca do tambor de cauda e descarga c-5619,,Manutenção/Inspeção/Teste de Máquina
acompanhar montagem de andaime e atividades mecanicas para instalação do sensor Lidar,acompanhar montagem de andaime e atividades mecanicas para instalacao do sensor lidar,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO PRONTIDÃO - QUEBRA DE MALHA PENEIRA SK-2,atendimento prontidao - quebra de malha peneira sk-2,,Parada de Máquina
TROCA DO REDUTOR DE ACIONAMENTO CK-8,troca do redutor de acionamento ck-8,,Manutenção/Inspeção/Teste de Máquina
ORGANZAÇÃO DA ALA DE REDUTORES E ACOPLAMENTOS HIDRÁULICOS DO PÁTIO DE MATERIAS,organzacao da ala de redutores e acoplamentos hidraulicos do patio de materias,,Outros Eventos Externos
MONTAGEM DA BASE PARA IÇAMENTO DA MESA GIRATÓRIA  MGK-22,montagem da base para icamento da mesa giratoria  mgk-22,,Manutenção/Inspeção/Teste de Máquina
QUEBRA DO ROLAMENTO DA PENEIRA PV20A,quebra do rolamento da peneira pv20a,,Parada de Máquina
ATENDER OCORRENCIA NO ACIONAMENTO DA CORREIA - C10,atender ocorrencia no acionamento da correia - c10,,Parada de Máquina
"REPARO NA CORREIA CK-5, CK-203 E MAN NO DG-4BIS","reparo na correia ck-5, ck-203 e man no dg-4bis",,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO BC-333; QUEBRA DO CONTRA PESO E RASGO DA CORREIA,atendimento bc-333; quebra do contra peso e rasgo da correia,,Parada de Máquina
acompanhamento troca da correia Bc-332A,acompanhamento troca da correia bc-332a,,Manutenção/Inspeção/Teste de Máquina
acompanhar solda do flange do CR2,acompanhar solda do flange do cr2,,Manutenção/Inspeção/Teste de Máquina
acompanhamento troca da base do acionamento C5608,acompanhamento troca da base do acionamento c5608,,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAMENTO TECNICO DO RECEBIMENTO,acompanhamento tecnico do recebimento,,Não Classificado
acompanhamento recebimento de carvão,acompanhamento recebimento de carvao,,Não Classificado
TROCA DO MOTOR DE ACIONAMENTO C5617AR,troca do motor de acionamento c5617ar,,Manutenção/Inspeção/Teste de Máquina
TROCA DO TAMBOR DE DESVIO C5604,troca do tambor de desvio c5604,,Manutenção/Inspeção/Teste de Máquina
TROCA DA EMENDA DA CORREIA C5608,troca da emenda da correia c5608,,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAR TROCA DA CORREIA C5608,acompanhar troca da correia c5608,,Manutenção/Inspeção/Teste de Máquina
REPARO COM SOLDA NA TRINCA DA PENEIRA SK-1,reparo com solda na trinca da peneira sk-1,,Manutenção/Inspeção/Teste de Máquina
PRONTIDÃO - DESCARRILHAMENTO CARRINHO DE ESTICAMENTO BC216.,prontidao - descarrilhamento carrinho de esticamento bc216.,,Parada de Máquina
PRONTIDÃO - TROCA DO TAMBOR DE DESVIO ST0802,prontidao - troca do tambor de desvio st0802,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO PRONTIDÃO - DESCARRILHAMENTO DO CARRO DE ESTICAMENTO DA CORRIEA C5613A,atendimento prontidao - descarrilhamento do carro de esticamento da corriea c5613a,,Parada de Máquina
PROVIDENCIAR VALVULA SOBRESSALENTE PARA GF1501A,providenciar valvula sobressalente para gf1501a,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO BLACKOUT USINA,atendimento blackout usina,,Parada de Máquina
ATENDIMENTO PRONTIDÃO - QUEBRA DO REDUTOR DA CORREIA C5619A,atendimento prontidao - quebra do redutor da correia c5619a,,Parada de Máquina
PREPARAÇÃO PARA TROCA DA CORREIA CK-1,preparacao para troca da correia ck-1,,Manutenção/Inspeção/Teste de Máquina
TROCA DA CORREIA CK-1,troca da correia ck-1,,Manutenção/Inspeção/Teste de Máquina
BC215A - ALINHAMENTO E TRAVAMENTO DA VIGA GUIA DO CONTRA PESO E MAN NOS ESTRUMENTOS DA CALDEIRINHA,bc215a - alinhamento e travamento da viga guia do contra peso e man nos estrumentos da caldeirinha,,Manutenção/Inspeção/Teste de Máquina
TROCA DO REDUTOR DE ACIONAMENTO,troca do redutor de acionamento,,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAMENTO TROCA DA TORRE DE ESTICAMENTO CK-2,acompanhamento troca da torre de esticamento ck-2,,Manutenção/Inspeção/Teste de Máquina
"ATENDIMENTO PRONTIDÃO - TORÇÃO DA VIGA DO TRIPPER ST0802, QUEBRA DA TRANSMISSÃO SK-2","atendimento prontidao - torcao da viga do tripper st0802, quebra da transmissao sk-2",,Parada de Máquina
ATENDIMENTO FALHA DO ACIONAMENTO CK-6,atendimento falha do acionamento ck-6,,Parada de Máquina
ACOMPANHAR REPARO A QUENTE NA CORREIA C5602,acompanhar reparo a quente na correia c5602,,Manutenção/Inspeção/Teste de Máquina
atendimento prontidão - acionamento Ck-21,atendimento prontidao - acionamento ck-21,,Parada de Máquina
TROCA DA CORREIA CK-11,troca da correia ck-11,,Manutenção/Inspeção/Teste de Máquina
ORGANIZAÇÃO DO PROVEN,organizacao do proven,,Outros Eventos Externos
RMSA Confiabilidade - ICCV,rmsa confiabilidade - iccv,,Não Classificado
cobrir ausencia de colaborador da letra i.,cobrir ausencia de colaborador da letra i.,,Substituição de Colaborador
Tratamento de Gás\ Supev Renato,tratamento de gas\ supev renato,,Não Classificado
Reforço extrutural Reclame 1201\ Superv Luciano,reforco extrutural reclame 1201\ superv luciano,,Não Classificado
Troca  suporte /tambor desvio Staker 02\Superv Lucino,troca  suporte /tambor desvio staker 02\superv lucino,,Manutenção/Inspeção/Teste de Máquina
TRoca da concha da Reclame 1202\Superv Mainho,troca da concha da reclame 1202\superv mainho,,Manutenção/Inspeção/Teste de Máquina
Organizaçao e limpeza no GAT\Superv Alair,organizacao e limpeza no gat\superv alair,,Outros Eventos Externos
Troca do redutor M6 Reclame 1201\Superv Jonathan,troca do redutor m6 reclame 1201\superv jonathan,,Manutenção/Inspeção/Teste de Máquina
Reforço na extrural da calha descarga C12 na torre 01\Superv Alair,reforco na extrural da calha descarga c12 na torre 01\superv alair,,Manutenção/Inspeção/Teste de Máquina
Troca das malhas da SK2 e Reparo SK1 estava dando passagem \Superv Alair,troca das malhas da sk2 e reparo sk1 estava dando passagem \superv alair,,Manutenção/Inspeção/Teste de Máquina
Troca das malhas da SK1 \Superv Alair,troca das malhas da sk1 \superv alair,,Manutenção/Inspeção/Teste de Máquina
Troca das malhas da SK1 \Superv Luciano,troca das malhas da sk1 \superv luciano,,Manutenção/Inspeção/Teste de Máquina
Troca do tambor de desvio BC215A\Superv Jonathan,troca do tambor de desvio bc215a\superv jonathan,,Manutenção/Inspeção/Teste de Máquina
Cd1 tratamento de Gás\Superv Renato,cd1 tratamento de gas\superv renato,,Não Classificado
Atendimento no tratamento de Gás e fabricação de um suporte.,atendimento no tratamento de gas e fabricacao de um suporte.,,Manutenção/Inspeção/Teste de Máquina
Soldar olhal do projeto LIDAR \Superv Mainho,soldar olhal do projeto lidar \superv mainho,,Manutenção/Inspeção/Teste de Máquina
Preparaçãõ de oleo do acoplamento e um rolo RB C56520A\Superv Mainho,preparacao de oleo do acoplamento e um rolo rb c56520a\superv mainho,,Manutenção/Inspeção/Teste de Máquina
Troca do redutor C1 E reparo na calha \Supev Mainho,troca do redutor c1 e reparo na calha \supev mainho,,Manutenção/Inspeção/Teste de Máquina
Troca de rolos na C5619A e acompanhamento da performese\Superv Mainho,troca de rolos na c5619a e acompanhamento da performese\superv mainho,,Manutenção/Inspeção/Teste de Máquina
Troca de chapa de TT9 \ superv Mainho,troca de chapa de tt9 \ superv mainho,,Manutenção/Inspeção/Teste de Máquina
Torqueamento dos tirante do rotor CR2\ Superv Mainho,torqueamento dos tirante do rotor cr2\ superv mainho,,Manutenção/Inspeção/Teste de Máquina
Troca da correia  da polia do CR3\ Superv Alair,troca da correia  da polia do cr3\ superv alair,,Manutenção/Inspeção/Teste de Máquina
Troca da celula de carga WF14 e troca do cabo de aço do contra peso C5619\ Superv Alair.,troca da celula de carga wf14 e troca do cabo de aco do contra peso c5619\ superv alair.,,Manutenção/Inspeção/Teste de Máquina
Troca do cabo de aço do contra peso C5619\ Superv Alair.,troca do cabo de aco do contra peso c5619\ superv alair.,,Manutenção/Inspeção/Teste de Máquina
Troca do rolamento e bucha da rodana do contra peso C5619\ Superv Alair.,troca do rolamento e bucha da rodana do contra peso c5619\ superv alair.,,Manutenção/Inspeção/Teste de Máquina
Troca do tambor de desvio C12\Superv Alair,troca do tambor de desvio c12\superv alair,,Manutenção/Inspeção/Teste de Máquina
Tratamento de Gas Coluna\Alair,tratamento de gas coluna\alair,,Não Classificado
Tratamento de Gas Coluna troca da v\  Superv Luciano,tratamento de gas coluna troca da v\  superv luciano,,Manutenção/Inspeção/Teste de Máquina
Preparação dos tambores trak e fabricação da proteção da calda Ck3Bis\Superv Luciano,preparacao dos tambores trak e fabricacao da protecao da calda ck3bis\superv luciano,,Não Classificado
Troca do acoplamento redutor e motor do truque M2 da reclame 01\superv Jonathan,troca do acoplamento redutor e motor do truque m2 da reclame 01\superv jonathan,,Manutenção/Inspeção/Teste de Máquina
Troca da correia do CR3\Superv Alair,troca da correia do cr3\superv alair,,Manutenção/Inspeção/Teste de Máquina
Preparaçãõ e instalação da trave p troca do tambor de caldaC56520A\Superv Alair,preparacao e instalacao da trave p troca do tambor de caldac56520a\superv alair,,Manutenção/Inspeção/Teste de Máquina
Alinhamento da CK7 bis\Superv Luciano,alinhamento da ck7 bis\superv luciano,,Manutenção/Inspeção/Teste de Máquina
Troca do cabo de aço do contra peso CK4 e CK5bis\superv Luciano,troca do cabo de aco do contra peso ck4 e ck5bis\superv luciano,,Manutenção/Inspeção/Teste de Máquina
Troca do rolamento do tambor C5604 TT3 \Superv Jonathan,troca do rolamento do tambor c5604 tt3 \superv jonathan,,Manutenção/Inspeção/Teste de Máquina
Troca das malhas SK2\Suprv Robson,troca das malhas sk2\suprv robson,,Manutenção/Inspeção/Teste de Máquina
Prep de carvão/Britador.CR2 soldar trica do pescoço do rotor\Superv Main,prep de carvao/britador.cr2 soldar trica do pescoco do rotor\superv main,,Manutenção/Inspeção/Teste de Máquina
Prontidão acompanhamento contigencia  rota da sol coqueria\Superv Robson,prontidao acompanhamento contigencia  rota da sol coqueria\superv robson,,Não Classificado
Troca do tambor Inferior da stark 01\superv Jonathan,troca do tambor inferior da stark 01\superv jonathan,,Manutenção/Inspeção/Teste de Máquina
Troca da viga e chapa de piso Stark02 \Superv Jonathan,troca da viga e chapa de piso stark02 \superv jonathan,,Manutenção/Inspeção/Teste de Máquina
Reforço estrutural na C5613 esticamento da correia contra-peso \Supevr Alair,reforco estrutural na c5613 esticamento da correia contra-peso \supevr alair,,Manutenção/Inspeção/Teste de Máquina
Troca do acoplamento Ck10\Superv Robson,troca do acoplamento ck10\superv robson,,Manutenção/Inspeção/Teste de Máquina
Atendimento turno Patio carvão recebimento\Superv Jonathan,atendimento turno patio carvao recebimento\superv jonathan,,Substituição de Colaborador
Trocar do rotor CR3 Superv Alair,trocar do rotor cr3 superv alair,,Manutenção/Inspeção/Teste de Máquina
"Troca do rotor CR3,Superv Alair","troca do rotor cr3,superv alair",,Manutenção/Inspeção/Teste de Máquina
Troca da passarela trazeira do tripper SR205 \superv Jonathan,troca da passarela trazeira do tripper sr205 \superv jonathan,,Manutenção/Inspeção/Teste de Máquina
Tratamento de anomalia RECLAME 01\Superv Jonathan,tratamento de anomalia reclame 01\superv jonathan,,Parada de Máquina
Retirada do ROTOR CR3 \ Superv Alair,retirada do rotor cr3 \ superv alair,,Manutenção/Inspeção/Teste de Máquina
Troca do trexo tubalação 3 polegas  de Amonia\Supev  Renato,troca do trexo tubalacao 3 polegas  de amonia\supev  renato,,Manutenção/Inspeção/Teste de Máquina
Troca do redutor da correia da lança RECLAME02\superv Jonathan,troca do redutor da correia da lanca reclame02\superv jonathan,,Manutenção/Inspeção/Teste de Máquina
Troca do tambor de acionamento CK7 BIS \ superv Robson,troca do tambor de acionamento ck7 bis \ superv robson,,Manutenção/Inspeção/Teste de Máquina
Troca do tambor contato angular CK21\Superv Robson,troca do tambor contato angular ck21\superv robson,,Manutenção/Inspeção/Teste de Máquina
Troca do tambor de contato angular CK21\ superv Robson,troca do tambor de contato angular ck21\ superv robson,,Manutenção/Inspeção/Teste de Máquina
Soldar os tirante da base do tambor de calda C5608\ superv Jonathan,soldar os tirante da base do tambor de calda c5608\ superv jonathan,,Manutenção/Inspeção/Teste de Máquina
Soldar tirante da base tambor de calda C5608\Superv Jonathan,soldar tirante da base tambor de calda c5608\superv jonathan,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento da C5617\Superv Alair,acompanhamento da c5617\superv alair,,Manutenção/Inspeção/Teste de Máquina
Troca do tambor da Stasker 2 \ superv João hebertes,troca do tambor da stasker 2 \ superv joao hebertes,,Manutenção/Inspeção/Teste de Máquina
Atendimento C5613A; prontidão\ S João hebertes,atendimento c5613a; prontidao\ s joao hebertes,,Não Classificado
Troca do tambor de calda C5620A \Superv Main,troca do tambor de calda c5620a \superv main,,Manutenção/Inspeção/Teste de Máquina
Troca da base tambor de esticador BC 216\Superv Jonathan,troca da base tambor de esticador bc 216\superv jonathan,,Manutenção/Inspeção/Teste de Máquina
Troca dos cabos do extrator de metal C5620A\ Superv Main,troca dos cabos do extrator de metal c5620a\ superv main,,Manutenção/Inspeção/Teste de Máquina
Troca tambor de conto CK2 e acompanhamento no triper CK6 Superv Robson,troca tambor de conto ck2 e acompanhamento no triper ck6 superv robson,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento do acionamento da  CK06\Superv Robson,acompanhamento do acionamento da  ck06\superv robson,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento do acionamento da  CK06\ Troca do redutor da C5619A  Superv Robson \ Main,acompanhamento do acionamento da  ck06\ troca do redutor da c5619a  superv robson \ main,,Manutenção/Inspeção/Teste de Máquina
Fabricação da proteção da c-5619A e tampar furo na calha da C-10,fabricacao da protecao da c-5619a e tampar furo na calha da c-10,,Manutenção/Inspeção/Teste de Máquina
Retirada dos paletes de sucata de aluminio e inox para alianar; do GAT\ Superv Maim,retirada dos paletes de sucata de aluminio e inox para alianar; do gat\ superv maim,,Não Classificado
Troca do acionamento ck5bis,troca do acionamento ck5bis,,Manutenção/Inspeção/Teste de Máquina
antendimento ao turno  patio de carvão,antendimento ao turno  patio de carvao,,Substituição de Colaborador
Troca do motor da roda de caçamba reclame 2,troca do motor da roda de cacamba reclame 2,,Manutenção/Inspeção/Teste de Máquina
Atendimento diversos na BC 211,atendimento diversos na bc 211,,Não Classificado
Retirada do tambor e estrutura bc 211,retirada do tambor e estrutura bc 211,,Manutenção/Inspeção/Teste de Máquina
troca do  raspador 5602,troca do  raspador 5602,,Manutenção/Inspeção/Teste de Máquina
"Posicionamento da correia 5604, e fabricação de limpador, em  V","posicionamento da correia 5604, e fabricacao de limpador, em  v",,Manutenção/Inspeção/Teste de Máquina
Retirado da guia da tremonha 5614,retirado da guia da tremonha 5614,,Parada de Máquina
"Recolhimento de sucata na base pátio de carvão,e atendimento CK 5BIS","recolhimento de sucata na base patio de carvao,e atendimento ck 5bis",,Manutenção/Inspeção/Teste de Máquina
Troca de suporte bc 211,troca de suporte bc 211,,Manutenção/Inspeção/Teste de Máquina
"rota do TCA linha da sol , troca de raspador 5613A ,preparação de vedação e laminas de raspadores","rota do tca linha da sol , troca de raspador 5613a ,preparacao de vedacao e laminas de raspadores",,Manutenção/Inspeção/Teste de Máquina
Troca do truck reclame 2,troca do truck reclame 2,,Manutenção/Inspeção/Teste de Máquina
Atendimento correia CK 8 e base pátio de carvão,atendimento correia ck 8 e base patio de carvao,,Manutenção/Inspeção/Teste de Máquina
Troca do cabo de aço 5613 A,troca do cabo de aco 5613 a,,Manutenção/Inspeção/Teste de Máquina
Troca do tambor e alinhamento CK 7,troca do tambor e alinhamento ck 7,,Manutenção/Inspeção/Teste de Máquina
Ativação do raspador bc 211 e atendimento na base,ativacao do raspador bc 211 e atendimento na base,,Manutenção/Inspeção/Teste de Máquina
"Atendimento no reclame 2, troca da correia","atendimento no reclame 2, troca da correia",,Manutenção/Inspeção/Teste de Máquina
Troca do rolamento 5604 tt3,troca do rolamento 5604 tt3,,Manutenção/Inspeção/Teste de Máquina
troca do tambor bc 331,troca do tambor bc 331,,Manutenção/Inspeção/Teste de Máquina
Troca do tambor bc 331,troca do tambor bc 331,,Manutenção/Inspeção/Teste de Máquina
Troca do tambor bc331,troca do tambor bc331,,Manutenção/Inspeção/Teste de Máquina
Troca do redutor 5614 e atendimento n bc 216,troca do redutor 5614 e atendimento n bc 216,,Manutenção/Inspeção/Teste de Máquina
patio de carvão  atendimento TCA jonathan,patio de carvao  atendimento tca jonathan,,Não Classificado
Pátio de carvão atendimento ao turno,patio de carvao atendimento ao turno,,Substituição de Colaborador
Pátio de carvão atendimento ao turno operação,patio de carvao atendimento ao turno operacao,,Não Classificado
Pátio de carvão atendimento ao turno operação recebimento,patio de carvao atendimento ao turno operacao recebimento,,Não Classificado
Pátio de carvão troca do tambor 5604 TT3,patio de carvao troca do tambor 5604 tt3,,Manutenção/Inspeção/Teste de Máquina
tratamento de coque ck 202 reparo na guia,tratamento de coque ck 202 reparo na guia,,Manutenção/Inspeção/Teste de Máquina
patio de carvão  troca do tambor 5610,patio de carvao  troca do tambor 5610,,Manutenção/Inspeção/Teste de Máquina
patio de carvão  troca do cabo de aço do carrinho esticamento 5607,patio de carvao  troca do cabo de aco do carrinho esticamento 5607,,Manutenção/Inspeção/Teste de Máquina
"Preparação de carvão, troca do CR 3 britador","preparacao de carvao, troca do cr 3 britador",,Manutenção/Inspeção/Teste de Máquina
Tratamento de coque CK202 reparo na guia e troca de vedação,tratamento de coque ck202 reparo na guia e troca de vedacao,,Manutenção/Inspeção/Teste de Máquina
Pátio de carvão troca do tambor de calda 5608,patio de carvao troca do tambor de calda 5608,,Manutenção/Inspeção/Teste de Máquina
Pátio de carvão 5601 trocar de lâminas de raspador,patio de carvao 5601 trocar de laminas de raspador,,Manutenção/Inspeção/Teste de Máquina
Pátio de carvão troca do motor da lança SR 205,patio de carvao troca do motor da lanca sr 205,,Manutenção/Inspeção/Teste de Máquina
"Coqueria, troca das malhas da peneira SK2","coqueria, troca das malhas da peneira sk2",,Manutenção/Inspeção/Teste de Máquina
Troca do redutor 5619 A,troca do redutor 5619 a,,Manutenção/Inspeção/Teste de Máquina
Solda na tubulação área 17 tratamento de gás,solda na tubulacao area 17 tratamento de gas,,Manutenção/Inspeção/Teste de Máquina
Pátio de carvão troca do cabo de aço contrapeso bc216,patio de carvao troca do cabo de aco contrapeso bc216,,Manutenção/Inspeção/Teste de Máquina
"Pátio de carvão , retirada de sucata do SR205","patio de carvao , retirada de sucata do sr205",,Não Classificado
Pátio de carvão reclame 1 solda de Chapa roda de caçamba,patio de carvao reclame 1 solda de chapa roda de cacamba,,Manutenção/Inspeção/Teste de Máquina
Pátio de carvão recolhimento de sucatas,patio de carvao recolhimento de sucatas,,Outros Eventos Externos
Levantamento do contrapeso e posicionamento ST 2,levantamento do contrapeso e posicionamento st 2,,Não Classificado
"Pátio de carvão auxílio ao eletricista, e descarte de sucata","patio de carvao auxilio ao eletricista, e descarte de sucata",,Manutenção/Inspeção/Teste de Máquina
Pátio de carvão troca do amortecedor gabine reclame 2,patio de carvao troca do amortecedor gabine reclame 2,,Manutenção/Inspeção/Teste de Máquina
Pátio de carvão troca da concha roda de caçamba reclame 2,patio de carvao troca da concha roda de cacamba reclame 2,,Manutenção/Inspeção/Teste de Máquina
"patio de carção    apoio  ao turno,  para acomphar a linha do recebimento","patio de carcao    apoio  ao turno,  para acomphar a linha do recebimento",,Não Classificado
Pátio de carvão solda de Chapa na calha St 02,patio de carvao solda de chapa na calha st 02,,Manutenção/Inspeção/Teste de Máquina
Preparação de carvão troca do rotor CR 02,preparacao de carvao troca do rotor cr 02,,Manutenção/Inspeção/Teste de Máquina
"NR-13 -Unidade 501, (Coque frio)","nr-13 -unidade 501, (coque frio)",,Manutenção/Inspeção/Teste de Máquina
"Unidade 501, NR-13","unidade 501, nr-13",,Manutenção/Inspeção/Teste de Máquina
Afastamento mêdico,afastamento medico,,Substituição de Colaborador
RMS-A,rms-a,,Não Classificado
Apoio operacional para NR-13 da unidade 201,apoio operacional para nr-13 da unidade 201,,Manutenção/Inspeção/Teste de Máquina
NR-13 -Unidade 201,nr-13 -unidade 201,,Não Classificado
Apoio operacional na NR-13 da unidade 201,apoio operacional na nr-13 da unidade 201,,Manutenção/Inspeção/Teste de Máquina
Apoio NR-13 da unidade 201,apoio nr-13 da unidade 201,,Manutenção/Inspeção/Teste de Máquina
Apoio operacional para unidade 401,apoio operacional para unidade 401,,Outros Eventos Externos
Atraso do transporte,atraso do transporte,,Outros Eventos Externos
Atraso de ônibus,atraso de onibus,,Outros Eventos Externos
Atraso na saida dos ônibus,atraso na saida dos onibus,,Outros Eventos Externos
TH  da unidade 201,th  da unidade 201,,Não Classificado
Apoio operacinal no retorno da unidade 401,apoio operacinal no retorno da unidade 401,,Parada de Máquina
Atividades Extra Bateria 4,atividades extra bateria 4,,Não Classificado
Atividade extra Bateria 4,atividade extra bateria 4,,Parada de Máquina
Analise e Apoio Processos,analise e apoio processos,,Não Classificado
Atividade Extra Bateria 4,atividade extra bateria 4,,Não Classificado
Crosswall Bateria 4,crosswall bateria 4,,Parada de Máquina
Purga COG puro Bateria 3,purga cog puro bateria 3,,Parada de Máquina
Atividade extra Bateria 4(Limpeza Decarbonizing),atividade extra bateria 4(limpeza decarbonizing),,Manutenção/Inspeção/Teste de Máquina
Limpezas das cruzetas(tubo cog) Bateria 4,limpezas das cruzetas(tubo cog) bateria 4,,Manutenção/Inspeção/Teste de Máquina
Inertizacao bateria 3,inertizacao bateria 3,,Manutenção/Inspeção/Teste de Máquina
Queima COG Bat 3 e 4,queima cog bat 3 e 4,,Parada de Máquina
Queima COG Bat  4,queima cog bat  4,,Parada de Máquina
